|articleId|title|subtitle|productType
0|-24471100344624315|Metal Hurlant||magazine
1|-4941423510709663049|Mikrophone||sound_card
2|6882901079846443092|Sound Blaster Audigy CREATIVE|Soundkarte für PC|sound_card
3|-309151326745158426|Umlenkrolle Forst, extra leicht|100 kn / 10 Tonnen|winch
4|-3342786788349504714|MATSCHFACH MORITZ SPEZIAL|*GRATIS LIEFERUNG*|sandpit
5|633306990322533353|Canon Pixma Druckerpatronen||photocopier
6|4612082415095066795|Trousse de couture||chest
7|7127437801064894229|Quadrat Regenduschkopf 25cm||shower_head
8|-7286532112372722413|Hansgrohe Raindance Select S 240 2jet||shower_head
9|316787216727177427|Luxus Aquarium|170x60x70 / Ratenzahlung möglich|aquarium
10|6031303416392377558|Aktenvernichter Martin Yale CC3000||shredder
11|6079947782016066262|FELLOWES  Aktenvernichter 99Ci 4691701|Partikelschnitt         4x38mm|shredder
12|-6052875539163169929|Top GBC Shredmaster 70s Grau, Aktenvern.|Aktenvernichter von der Top-Firma GBC, guter Zustand|shredder
13|-5125983344682927547|Waschmaschine Siemens iQ 800|Waschmaschine Siemens iQ 800 8kg  WM14Y741|washing_machine
14|7640322387754808249|Wäscheball Ökokugel für Waschmaschine|Power Clean Ball Ökokugel für die Waschmaschine|washing_machine
15|-515617978497266107|S.4108 A - Romant.Schweiz (62)||coffee_cream_lid
16|3987280980274411445|KRD mit farbigem Streifen oberh. Lasche||coffee_cream_lid
17|-2746775294516879231|Pedal Go-Kart Lila|Pedal Go-Kart Lila|kart
18|-8125266184728211941|RECIPIENT A DEUX COMPARTIMENT PLASTICK||plastic_container
19|5842274959541692131|2 saladiers et un essor salade||plastic_container
20|-3552738636154214856|Waschbecken|Friseurbecken|sink
21|-347919856776825164|Chanel Nagellack||nail_polish
22|7881643652797616824|5x Weinbelüfter Weindekanter|Wein-Dekantierer Wein-Belüftungsanlage Belüfter Dekanter|carafe
23|7342642582086848280|❤liche Schlüssel Anhänger 3,5x4,5 cm|Goldig mit ramen für Foto ❤|keychain
24|6596205117471121045|Spielturm mit Rutsche Leitern Schaukeln|vidaxl Spielturm mit Rutsche Leitern Schaukeln 286 x 228 x 2|playground_slide
25|3672388204857654802|Spielturm mit Rutsche Leitern Schaukeln|vidaxl Spielturm mit Rutsche Leitern Schaukeln 286 x 228 x 2|playground_slide
26|3253001709725352117|Rutschbahn||playground_slide
27|-4721509878463253817|Badehose Gr.128 NEU|Lagerräumung wegen Geschäftsübergabe !|swimming_trunks
28|-5970716542704973434|NEU Holz Terrarium 100x40x50|AKTION|terrarium
29|-1898134345974969787|Boiler||boiler
30|6333944878581502998|Bob Schlitten||luge
31|8142327464136583874|Diverse Kinderschlitten + Kinderschaufel||luge
32|-5207241297095064721|Basler Fasnacht, Larve, Dildi||mask
33|6431940172669464501|General Office 3in1 Rollen-Schneidemasch|Top Ware... Top Preis....|binding_machine
34|8204517249257216070|Ibico Combman Spiralbindegerät||binding_machine
35|4106383358962554329|Laminiergerät||laminator
36|-5561201871276273978|Laminiergerät|Laminator A245 combo|laminator
37|-7928946473037065335|Laminator||laminator
38|2828292616475504555|Eiger/Mönch/Jungfrau Sackmesser Limited||swiss_knife
39|-2050021508152761635|Tisch Staffelei|3 Stufen Tischstaffelei - Eigenproduktion|easel
40|-6448920244202256306|Feldstaffelei Staffelei Kofferstaffelei|Malerei|easel
41|3650771929326967004|Türvorhang DIAMONDS Kunstst. klar||curtain
42|4916916241831650700|Planeten  Mausmatte Mousepad 20x20cm||mousepad
43|1897324949112555743|XL Mousepad||mousepad
44|2187427430987636444|NEU&OVP Küche Büro Praxis 205cm|AKTION|kitchen
45|5834386994483382505|Bananenschachteln für Umzug (15 Stück)|seit Jahren bewährt|carton
46|4245838746211802760|Antike kaffe-mühle||coffee_mill
47|-4375087397318553607|antike Kaffemühle / Pfeffermühle||coffee_mill
48|-4304170309783951862|Super-Magnete Katzen||magnet
49|-8610750403157002101|DVD Recorder Philips DVDR70|DVD-Player/Recorder in gutem Zustand|recorder
50|8064269091094551270|Panasonic DMR-BCT735 BP/FP/Tuner||recorder
51|5076919159924376429|Arctic Air Cooler Mini Klimagerät||air_conditioner
52|3457632961879941134|Insektenfänger, für Gewerbe und||air_conditioner
53|5799546267933741988|Klimagerät Boden-Decken-Split Innengerät||air_conditioner
54|-4809935321913400188|80er-Jahre Glas-Behälter, 5 Stück|5er-Gruppe von Glasbehältern aus den 80er Jahren, mit Deckel|bottle
55|8162913028529361463|Abfalleimer & Kosmetikbehälter Spirella|NEU / ungebraucht|trash_bin
56|-4545028298308632620|Kehrichtsvhwenksystem Franke||trash_bin
57|4921641768254621372|V-ZUG Adora S Euro Norm mit A+++ Bj 2016||dishwasher
58|-5301141480817019750|Kratzbaum Katzenbaum Kletterbaum 122 cm|vidaXL Kratzbaum Katzenbaum Kletterbaum 122 cm Beige|cat_tree
59|8126329454051812003|3x Bauer 1X lite SR||stick
60|3342318210915526739|Eishockeystock|CCM|stick
61|-2810489973200946915|öltank 750 Liter Doppelwandig Wassertank|Sieht noch richtig gut aus.ölpreis unten jetzt kaufen+lagern|tank
62|-2714702592908000843|Bruder MAN TGS Müll-LKW Hecklader||truck
63|5766049628919484914|Holster SIG 210 P49||holster
64|-760773380469253835|Farbige Murmelsammlung aus Glas|16 Murmeln zum Staunen und Spielen|marble
65|-3580089532990785267|Tränketrog- Brunnentrog- Wassertrog 4m||fountain
66|-38116126803510239|Stein Zimmer Brunnen|Stein Zimmer Brunnen|fountain
67|-7154714549993018356|Brunnen Relief Wasserspiel Zierbrunnen||fountain
68|4252773378429727420|"Zimmerbrunnen ""Tromsö"" von Climaqua"||fountain
69|3295894789821998937|Tischtennistisch Outdoor Kettler Smash 5|Tischtennistisch Outdoor Kettler Smash 5|pingpong_table
70|-7116848969577767060|Tischtennis-Tisch inkl. neues Netz|Platte wie neu, inkl. Abdeckung|pingpong_table
71|-2194840198278935568|ANTIKES HÜBSCHES SPINNRAD   1861|WALLISER ?  ABHOLUNG - HUTTWIL ODER KRIENS MÖGLICH|spinning_wheel
72|8182578115625989012|Original Berner Spinnrad 1868||spinning_wheel
